airport,eic,type,fractions|
OXR,81080411400044,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
OXR,81080411400045,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
OXR,81080411400046,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
CMA,81080411400000,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
CMA,81080411400044,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
CMA,81080411400045,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
CMA,81080411400046,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
OXR,81081014000000,monthly,1.267136|1.069285|1.296036|1.091515|0.889218|1.191552|0.987032|1.011486|0.858096|0.735828|0.640237|0.962579
OXR,81081014000044,monthly,1.267136|1.069285|1.296036|1.091515|0.889218|1.191552|0.987032|1.011486|0.858096|0.735828|0.640237|0.962579
OXR,81081014000045,monthly,1.267136|1.069285|1.296036|1.091515|0.889218|1.191552|0.987032|1.011486|0.858096|0.735828|0.640237|0.962579
OXR,81081014000046,monthly,1.267136|1.069285|1.296036|1.091515|0.889218|1.191552|0.987032|1.011486|0.858096|0.735828|0.640237|0.962579
CMA,81081014000000,monthly,0.940952|0.830476|0.895238|1.036190|1.169524|0.914286|0.994286|1.150476|1.158095|1.142857|0.937143|0.830476
CMA,81081014000044,monthly,0.940952|0.830476|0.895238|1.036190|1.169524|0.914286|0.994286|1.150476|1.158095|1.142857|0.937143|0.830476
CMA,81081014000045,monthly,0.940952|0.830476|0.895238|1.036190|1.169524|0.914286|0.994286|1.150476|1.158095|1.142857|0.937143|0.830476
CMA,81081014000046,monthly,0.940952|0.830476|0.895238|1.036190|1.169524|0.914286|0.994286|1.150476|1.158095|1.142857|0.937143|0.830476
OXR,81081214000000,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
OXR,81081214000044,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
OXR,81081214000045,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
OXR,81081214000046,monthly,1.050197|0.960734|1.225662|1.072000|0.966098|0.802400|0.998803|1.069578|0.986171|0.971635|1.026317|0.870405
CMA,81081214000000,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
CMA,81081214000044,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
CMA,81081214000045,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
CMA,81081214000046,monthly,0.930340|0.973712|1.114673|1.072385|1.072885|1.076222|1.070383|1.139612|0.959283|0.921749|0.814485|0.854271
